Gene Symbol,WM_1,WM_2,WM_3,W3_1,W3_2,W3_3,W12_1,W12_2,W12_3,W24_1,W24_2,W24_3
ITGAV,9.544495265,11.22750626,11.14745646,9.038758872,10.08412327,9.519252784,12.58915141,15.65714718,8.983016486,8.608107434,10.40874322,8.507223771
FAM171B,0,0,0,0.059113558,0,0.15783725,0,0.030819471,0,0.038514361,0.125651298,0
ZSWIM2,0,0,0,0,0,0,0,0,0,0,0,0
CALCRL,0.127682778,0.07027976,0.148088948,0.018684656,0.100572256,0.049889313,0.119917794,0.116897291,0.168690419,0.054781413,0.178721792,0.13181766
TFPI,0.140636356,0.233457916,0.248552774,0.245002837,0.216275854,0.209335796,0.125793909,0.210762403,0.206449193,0.268173582,0.343712184,0.270792229
GULP1,3.536362085,3.838932903,3.721768632,3.258327065,3.414812198,3.441600458,4.366893715,4.564176137,4.181843798,3.783763483,3.681916577,4.067805615
DIRC1,0,0,0,0,0,0,0,0,0,0,0,0
COL3A1,0.161250357,0,0.026717325,0,0.16330182,0,0.06490456,0.184536731,0,0.065888905,0.053739866,0.05945439
COL5A2,1.978838078,2.269169666,2.514837659,2.187225431,2.346306338,2.447059762,1.957351879,2.975305056,2.051174096,2.107463665,2.836144339,2.327263514
WDR75,17.8390131,17.6861944,17.06209186,12.51997382,11.44108079,11.31449442,18.20849207,21.26580018,18.83898372,15.7459039,16.67185738,19.7436106
SLC40A1,39.18791468,34.27133269,37.61308806,32.17275176,28.84083412,30.01488555,39.08480386,41.88216673,36.7618888,37.57018098,46.13317132,55.34856107
ASNSD1,26.91177667,35.00605672,33.9743489,30.69393581,27.53970409,38.07016822,36.66220283,34.3117826,30.45697432,33.20068657,36.65338422,36.89883737
ANKAR,0.354229901,0.249970388,0.126413129,0.129591949,0.085851468,0.186318129,0.358278881,0.584689474,0.284998332,0.272784416,0.063567598,0.070327171
OSGEPL1,4.948176265,5.322666971,4.469302143,4.277310534,4.311442515,3.421936251,5.737097533,5.061394975,4.989808924,4.88473459,4.775757531,4.89745099
ORMDL1,18.37331306,20.109884,22.09130918,23.53688894,23.01182662,23.77504332,21.33259389,17.82840226,20.22852993,22.47815071,19.39695873,21.97964564
PMS1,7.206196876,7.613614929,8.124332397,5.735716757,5.109645939,5.395290467,9.375170504,9.185117864,5.764300701,6.253478072,7.398964213,7.746450649
C2orf88,0,0,0,0,0.072126256,0.051112213,0.02457145,0.037425846,0.072010584,0.037416153,0.244136888,0.090032539
MSTN,0,0,0,0,0,0,0,0,0,0,0,0
HIBCH,4.946524898,4.537816156,5.773772673,4.545330309,4.386389043,5.171854319,6.06219757,5.099601116,4.064173582,4.32901314,5.007093555,4.536881011
INPP1,0,0,0,0,0,0,0,0,0,0,0,0
MFSD6,1.196691013,1.205208743,1.161649882,1.199188748,0.686459427,1.296013673,1.820253094,1.168546493,1.202957643,1.22777218,1.350355598,1.376446519
NEMP2,1.527823028,1.556091537,1.841762335,1.311530505,1.402416183,1.316141437,1.367118021,2.106409956,1.708582242,1.686067887,1.515503788,1.024624068
NAB1,16.69454284,14.75555709,16.51410862,12.57921268,14.52804208,16.02534164,17.38288297,20.64855384,12.88384726,14.6238012,17.05781928,14.77695659
GLS,23.95678692,27.54308648,27.35038166,17.57549477,19.37314557,19.77547998,26.49600683,27.41184979,25.03106956,21.71464521,26.28678015,21.22174453
STAT1,26.29631563,26.47767039,28.74028498,26.84574889,24.38792638,28.78846616,28.82344337,32.11093083,24.75649646,31.60216896,33.84783463,35.84708636
